Đến nội dung	Skip to content	本文へ移動
Tìm hiểu phạm vi hỗ trợ và người hướng dẫn phù hợp.	Explore the scope of support and an appropriate guide.	サポートの範囲と担当者についてご確認いただけます。
Xem cách đồng hành 1–1 →	Explore one-to-one support →	個別サポートについて →
Thông tin đăng ký, học phí và lịch học xem tại chương trình hiện hành.	See each current programme for registration, fees and schedules.	お申し込み方法、受講料、日程は各プログラムでご確認ください。
Đồng hành 1–1: bắt đầu bằng điều chị cần.	One-to-one support: begin with your needs.	個別サポートは、今のあなたの関心から。
Một cuộc trao đổi riêng để làm rõ nhu cầu học và thực hành chăm sóc lối sống: bữa ăn, nghỉ ngơi, vận động hay cách sắp xếp thói quen.	A private conversation to clarify what you want to learn and practise: meals, rest, movement or organising your habits.	食事、休息、運動、習慣の整え方など、学びたいことや実践したいことを個別にお伺いします。
Chia sẻ nhu cầu	Share your needs	ご希望を伝える
Chị gửi vấn đề đang quan tâm và thời gian thuận tiện. Không cần đăng ảnh hay thông tin sức khỏe riêng tư công khai.	Tell us what interests you and when you are available. You do not need to post photos or private health information publicly.	関心のあることと、ご都合のよい時間をお知らせください。写真や個人の健康情報を公開する必要はありません。
Làm rõ phạm vi	Clarify the scope	内容を確認する
IKI trao đổi người phụ trách, hình thức, lịch hẹn và chi phí nếu có trước khi chị xác nhận.	Before you confirm, IKI will clarify the person responsible, format, schedule and any fees.	お申し込みを確定する前に、担当者、形式、日時、費用の有無をご案内します。
Chọn bước phù hợp	Choose your next step	次の一歩を選ぶ
Chị có thể chọn học kiến thức nền, chương trình nhóm hoặc trao đổi riêng phù hợp với nhu cầu.	Choose foundational learning, a group programme or a private conversation according to your needs.	基礎学習、グループプログラム、個別相談から、ご希望に合う方法を選べます。
Gửi nhu cầu đồng hành 1–1 →	Request one-to-one support →	個別サポートについて相談する →
Hỏi IKI trên Zalo	Ask IKI on Zalo	ZaloでIKIに問い合わせる
Đồng hành về lối sống không thay thế việc thăm khám và tư vấn y khoa.	Lifestyle support does not replace medical examinations or advice.	生活習慣のサポートは、医療機関での診察や医学的な助言に代わるものではありません。
MỘT ĐIỂM BẮT ĐẦU NHẸ NHÀNG	A GENTLE PLACE TO BEGIN	無理のない一歩から
Theo nhịp của chị.	At your own pace.	あなたのペースで。
Không cần thay đổi tất cả hôm nay.	You do not need to change everything today.	今日、すべてを変えなくても大丈夫。
Mình bắt đầu từ điều chị đang quan tâm.	Start with what matters to you now.	今、気になることから始めましょう。
Khám phá IKI Beauty	Explore IKI Beauty	IKI Beautyを見る
Cộng đồng · IKI	Community · IKI	コミュニティ · IKI
CỘNG ĐỒNG IKI	IKI COMMUNITY	IKIコミュニティ
Không cần	You do not have to	一人で、
đi một mình.	go it alone.	歩まなくてもいい。
Cùng những người cũng đang học cách dành thời gian cho bản thân. Chia sẻ một việc nhỏ, hỏi điều còn băn khoăn, hoặc chỉ lắng nghe.	Meet people learning to make time for themselves. Share something small, ask a question or simply listen.	自分のための時間を大切にしたい人たちと。小さなことを共有したり、質問したり、ただ話を聞いたり。
Chọn kênh cộng đồng	Choose a community channel	コミュニティの窓口を選ぶ
CÙNG NHAU, THEO NHỊP RIÊNG	TOGETHER, AT YOUR OWN PACE	それぞれのペースで、ともに
Một nơi chị được là mình.	A place to be yourself.	自分らしくいられる場所。
Chia sẻ thật	Share honestly	ありのままを共有する
Không cần thành tích nổi bật. Một bữa ăn tự chuẩn bị hay một khoảng nghỉ cũng là điều đáng chia sẻ.	No big achievements needed. A meal you prepared or a moment of rest is worth sharing too.	特別な成果は必要ありません。自分で作った食事や、休息の時間も大切な経験です。
Lắng nghe không phán xét	Listen without judging	決めつけずに聞く
Không chê ngoại hình, so sánh làn da hay ép chia sẻ hình ảnh riêng tư.	No criticism of appearance, comparisons of skin or pressure to share personal photos.	外見を批判したり、肌を比較したり、個人の写真の共有を求めたりしません。
Học và hỏi đúng chỗ	Learn and ask responsibly	適切な場所で学び、相談する
Trải nghiệm cho mình thêm góc nhìn. Vấn đề chuyên môn cần người có chuyên môn phù hợp.	Experiences can offer perspective. Specialist questions need appropriately qualified people.	経験の共有は視点を広げます。専門的な問題は、適切な専門家に相談しましょう。
THAM GIA KHI CHỊ SẴN SÀNG	JOIN WHEN YOU ARE READY	準備ができたら、参加を
Chọn cách kết nối	Choose a way to connect	自分に合う、
phù hợp với chị.	that suits you.	つながり方を。
Xem các kênh IKI đang hoạt động và quy tắc tham gia. Lịch sinh hoạt được cập nhật tại kênh cộng đồng hiện hành.	Explore IKI’s active channels and participation guidelines. Activity schedules are shared on each community channel.	IKIの窓口と参加ルールをご覧ください。活動予定は各コミュニティでご案内します。
Xem nguyên tắc tham gia	Read the guidelines	参加ルールを見る
Một nơi để học. Một nơi để hỏi.	A place to learn. A place to ask.	学べる場所。質問できる場所。
Cùng tìm hiểu việc chăm da, ăn uống, nghỉ ngơi và vận động từ những câu hỏi trong đời sống.	Explore skincare, food, rest and movement through everyday questions.	身近な疑問から、肌のケア、食事、休息、運動を一緒に学びましょう。
Chăm người thân	Care for loved ones	大切な人のケア
Mở rộng kiến thức tới sức khỏe phụ nữ, gia đình, trẻ nhỏ và những vấn đề nam giới quan tâm.	Explore women’s wellbeing, family and children’s health, and topics of interest to men.	女性、家族、子どもの健康、そして男性の関心事にも知識を広げます。
Thực hành cùng nhau	Practise together	一緒に実践する
Chia sẻ điều đã thử, những vướng mắc và cách sắp xếp thói quen. Lịch hoạt động cụ thể theo thông báo trên từng kênh.	Share what you have tried, challenges and ways to organise habits. Check each channel for activity schedules.	試したこと、困っていること、習慣の整え方を共有しましょう。具体的な活動予定は各窓口でご確認ください。
Chọn đúng kênh, tìm đúng điều chị cần.	Choose the channel for what you need.	目的に合う窓口を選びましょう。
KÊNH CHÍNH THỨC	OFFICIAL CHANNEL	公式チャンネル
Theo dõi bài chia sẻ, thông báo và trao đổi dưới nội dung công khai. Đây là fanpage chính thức, không phải nhóm học viên riêng.	Follow articles, announcements and public discussions. This is the official Facebook page, not a private learner group.	記事やお知らせを読み、公開コメントで交流できます。公式Facebookページであり、受講者専用グループではありません。
Xem fanpage →	Visit the Facebook page →	Facebookページを見る →
HỎI & ĐƯỢC HƯỚNG DẪN	ASK FOR GUIDANCE	問い合わせ・ご案内
Nhắn nhu cầu của chị để được hướng dẫn tới chương trình hoặc nhóm phù hợp. Nhóm học viên được hướng dẫn theo đợt học.	Message us about your needs for guidance to a suitable programme or group. Learner groups are arranged by programme intake.	ご希望をお送りいただくと、合うプログラムやグループをご案内します。受講者グループは受講時期に合わせてご案内します。
Nhắn IKI →	Message IKI →	IKIに連絡する →
ĐỌC THEO NHỊP RIÊNG	READ AT YOUR OWN PACE	自分のペースで読む
Kho kiến thức IKI	IKI knowledge library	IKI知識ライブラリー
Đọc bài theo chủ đề trước, lưu câu hỏi rồi trao đổi khi cần. Chị có thể bắt đầu mà chưa đăng ký khóa học.	Read by topic, note your questions and ask when needed. You can begin without enrolling in a course.	テーマ別に読み、疑問をまとめて、必要なときに相談できます。講座に申し込まずに始められます。
Khám phá Blog →	Explore the Blog →	ブログを見る →
Lần đầu tham gia, chị bắt đầu thế nào?	New here? Where to begin?	初めての方は、何から始めればよいですか？
Chọn mối quan tâm	Choose an interest	関心のあることを選ぶ
Chăm mình hay chăm người thân? Chọn chủ đề chị muốn tìm hiểu trước.	Your own wellbeing or caring for loved ones? Choose what you want to explore first.	自分のケア、それとも家族のケア？まず知りたいテーマを選びましょう。
Chọn kênh kết nối	Choose a channel	窓口を選ぶ
Theo dõi fanpage để cập nhật; nhắn Zalo nếu cần hướng dẫn tham gia nhóm hoặc khóa học.	Follow Facebook for updates; message us on Zalo for help joining a group or course.	最新情報はFacebookで。グループや講座への参加はZaloでご相談ください。
Tham gia theo mức thoải mái	Join at your comfort level	無理のない範囲で参加する
Đọc và lắng nghe trước cũng được. Chị quyết định những gì mình muốn chia sẻ.	It is fine to read and listen first. You decide what to share.	まずは読んだり、話を聞いたりするだけでも大丈夫。共有する内容は自分で決められます。
Cùng giữ một không gian tử tế.	Help keep this a respectful space.	思いやりのある場所を、一緒に。
Tôn trọng và bảo vệ riêng tư	Respect people and protect privacy	互いを尊重し、プライバシーを守る
Không chê ngoại hình, phán xét hay so sánh kết quả. Không đăng ảnh, bệnh án, số điện thoại hoặc tin nhắn của người khác khi chưa được đồng ý.	Do not criticise appearances, judge or compare results. Do not share another person’s photos, medical records, phone number or messages without permission.	外見の批判、決めつけ、結果の比較はしません。他人の写真、診療記録、電話番号、メッセージは、同意なく公開しないでください。
Chia sẻ trải nghiệm có trách nhiệm	Share experiences responsibly	責任を持って経験を共有する
Nói rõ đâu là trải nghiệm cá nhân và đâu là kiến thức có nguồn. Không khuyên người khác tự dừng thuốc hoặc thay đổi hướng điều trị.	Distinguish personal experience from sourced information. Do not advise others to stop medication or change treatment on their own.	個人の経験と、出典のある情報を区別しましょう。他の人に自己判断で服薬を中止したり、治療方針を変えたりするよう勧めないでください。
Không spam hoặc mời chào thiếu minh bạch	No spam or misleading solicitation	スパムや不透明な勧誘をしない
Không gửi quảng cáo hàng loạt, kéo thành viên sang kênh khác hoặc mạo danh đội ngũ IKI.	Do not send bulk advertising, solicit members to other channels or impersonate the IKI team.	大量の広告送信、他の窓口への勧誘、IKIチームへのなりすましはしないでください。
Cần hỗ trợ hoặc phản ánh?	Need help or want to report something?	サポートや報告が必要な場合
Gửi đường dẫn nội dung cần phản ánh tới	Send the link to the content you wish to report to	報告したい内容のリンクを、次の宛先にお送りください：
hoặc Zalo IKI. Chỉ gửi thông tin cần thiết để đội ngũ kiểm tra.	or IKI on Zalo. Share only what is needed for the team to review it.	またはIKIのZaloへ。確認に必要な情報のみをお送りください。
IKI BEAUTY & WELLNESS · ĐẸP · AN · TỰ TẠI	IKI BEAUTY & WELLNESS · BEAUTY · CALM · EASE	IKI BEAUTY & WELLNESS · 美しさ · 安らぎ · 自分らしさ
Làn da có chuyện	Your skin has	肌が伝える、
muốn kể.	a story to tell.	小さなサイン。
Mình bắt đầu từ đây.	Let’s begin here.	ここから、始めましょう。
Cùng chị chăm làn da, bữa ăn, giấc nghỉ	Alongside your skincare, meals, rest	肌のケア、食事、休息、
và những khoảng dành riêng cho mình.	and the moments you keep for yourself.	そして自分だけの時間に寄り添います。
Xem trải nghiệm ứng dụng	Explore the app experience	アプリの体験を見る
Xem màn hình gốc	View original screens	元の画面デザインを見る
IKI Beauty đang phát triển · Webapp trước, iOS và Android sau.	IKI Beauty is in development · Web app first, iOS and Android to follow.	IKI Beautyは開発中です · Webアプリを先行し、iOS・Android版はその後に予定しています。
HIỂU MÌNH HƠN. CHĂM MÌNH VỪA ĐỦ.	UNDERSTAND YOURSELF. CARE AT YOUR OWN PACE.	自分を知り、自分に合うケアを。
Khám phá cùng IKI ↓	Explore with IKI ↓	IKIを体験する ↓
THIẾT KẾ IKI BEAUTY	IKI BEAUTY DESIGNS	IKI Beautyのデザイン
Từ một lần soi nhẹ,	From a gentle skin check	肌をそっと見つめることから、
đến nhịp chăm mỗi ngày.	to everyday self-care.	毎日のセルフケアへ。
Chăm mình theo nhịp riêng, có Tiểu Nhã cùng chị.	Self-care at your pace, with Tiểu Nhã alongside you.	Tiểu Nhãと一緒に、自分のペースでセルフケアを。
Xem hai màn hình gốc ↗	View the two original screens ↗	2つの元の画面を見る ↗
MỘT VÒNG BÊN TRONG IKI BEAUTY	A LOOK INSIDE IKI BEAUTY	IKI Beautyをのぞいてみる
Những điều nhỏ.	Small things.	小さなことを、
Tiện hơn mỗi ngày.	More convenient, every day.	毎日、もっと便利に。
Những việc nhỏ được làm thuận tiện hơn, để chị dành thời gian cho mình.	Making small tasks easier, so there is more time for you.	小さな手間を減らし、自分のための時間を増やせるように。
01 · Chụp sản phẩm	01 · Photograph a product	01 · 商品を撮影
Chụp nhãn. Bớt nhập tay.	Photograph the label. Type less.	ラベルを撮って、入力の手間を少なく。
Thêm món đang dùng bằng ảnh, để chị có thêm thời gian chăm mình.	Add the products you use with a photo, leaving more time for self-care.	使っている商品を写真で追加し、セルフケアの時間をつくります。
Xem rõ hơn ↗	Take a closer look ↗	大きく見る ↗
02 · Kiểm tra thông tin	02 · Review the details	02 · 情報を確認
IKI điền giúp. Chị quyết định.	IKI drafts it. You decide.	IKIが下書き、決めるのはあなた。
Xem lại thông tin đã đọc, sửa điều chưa đúng rồi mới lưu vào tủ.	Review the extracted information, make corrections and then save it to your shelf.	読み取った情報を確認・修正してから、商品リストに保存します。
03 · Tiểu Nhã đồng hành	03 · Tiểu Nhã alongside you	03 · Tiểu Nhãのサポート
Có Tiểu Nhã, bớt bối rối.	A little clarity with Tiểu Nhã.	Tiểu Nhãと、疑問をひとつずつ。
Bắt đầu bằng một câu hỏi nhỏ về điều chị đang quan tâm hôm nay.	Begin with a small question about what matters to you today.	今日気になることを、小さな質問から。
04 · Lời nhắc riêng	04 · Your reminders	04 · 自分に合うリマインダー
Nhắc nhẹ, đúng lúc chị chọn.	A gentle reminder, when you choose.	選んだ時間に、やさしくお知らせ。
Một lời nhắc khép ngày lại. Chị có thể nhắc sau hoặc bỏ qua hôm nay.	A reminder to wind down. Snooze it or skip today if you prefer.	一日を締めくくるためのお知らせ。後で通知したり、その日はスキップしたりできます。
05 · Hành trình của chị	05 · Your journey	05 · あなたの記録
Từng chút, thành hành trình.	Little moments, a growing journey.	小さな積み重ねが、歩みになる。
Nhìn lại những ngày đã chăm mình, thay vì phải nhớ mọi thứ trong đầu.	Look back on your self-care days without having to remember every detail.	すべてを覚えておかなくても、セルフケアの日々を振り返れます。
Vuốt để khám phá · Chạm ảnh để xem rõ hơn	Swipe to explore · Tap an image for a closer look	スワイプして見る · 画像をタップして拡大
Ảnh từ bộ thiết kế app · Minh họa tính năng	App design images · Feature illustrations	アプリのデザイン画像 · 機能のイメージ
GIỮ NGUYÊN NHỊP TRẢI NGHIỆM	A CONSISTENT EXPERIENCE	つながる体験
Năm điểm chạm.	Five touchpoints.	5つの入口から、
Một hành trình của chị.	One personal journey.	あなたの歩みへ。
Hôm nay	Today	今日
Soi da	Skin check	肌の記録
Hành trình	Journey	これまでの記録
Chỉ một việc lúc này.	Just one thing for now.	今は、ひとつだけ。
Chọn một việc vừa sức, ghi cảm giác và đánh dấu khi hoàn thành.	Choose a manageable task, note how you feel and mark it when done.	無理なくできることを選び、気持ちを記録して、終わったらチェック。
Quan sát, rồi nhìn lại.	Observe, then reflect.	見つめて、振り返る。
Chụp ảnh nhất quán và ghi cảm giác da. Ảnh không thay cho đánh giá chuyên môn.	Take consistent photos and record how your skin feels. Photos do not replace a professional assessment.	同じ条件で写真を撮り、肌の感覚を記録します。写真は専門家による評価に代わるものではありません。
Bớt bối rối khi bắt đầu.	More clarity at the start.	始めるときの疑問を少なく。
AI hỗ trợ giải thích thông tin, tìm kiến thức và bước tiếp theo trong ứng dụng.	AI helps explain information, find resources and navigate the next step in the app.	AIが情報の説明、知識の検索、アプリでの次の操作をサポートします。
Thấy điều mình đã ghi.	See what you have recorded.	自分の記録を見返す。
Nhìn lại ảnh, cảm giác và thói quen trong cùng bối cảnh, không vội kết luận nguyên nhân.	Review photos, feelings and habits in context, without jumping to conclusions about causes.	写真、感覚、習慣を背景とともに振り返り、原因を急いで決めつけません。
Có người cùng bước.	People alongside you.	一緒に歩む人がいる。
Chia sẻ điều chị muốn, tìm sự đồng cảm và chọn mức độ tham gia của riêng mình.	Share what you choose, find understanding and decide how much you want to participate.	共有したいことを話し、共感を見つけ、自分に合う参加の仕方を選べます。
Xem màn hình ↗	View screen ↗	画面を見る ↗
TIỆN HƠN TỪ MỘT THAO TÁC	ONE ACTION, LESS EFFORT	ひとつの操作で、もっと便利に
Chụp. Kiểm tra.	Photograph. Review.	撮影して、確認して、
Rồi lưu.	Then save.	保存する。
Trong thiết kế, AI hỗ trợ đọc tên và thành phần trên nhãn, tạo bản nháp cho chị kiểm tra trước khi đưa vào tủ sản phẩm.	In the design, AI reads names and ingredients from labels and creates a draft for you to review before adding it to your product shelf.	このデザインでは、AIがラベルの商品名や原材料を読み取り、確認用の下書きを作成します。確認してから商品リストに追加します。
Chị luôn có thể sửa hoặc nhập tay. Nhận biết tên không có nghĩa đã xác nhận sản phẩm phù hợp với da.	You can always edit or enter details manually. Recognising a product name does not confirm that it is suitable for your skin.	いつでも修正や手入力ができます。商品名の認識は、その商品が肌に合うことの確認ではありません。
Tìm hiểu vai trò của AI →	Understand AI’s role →	AIの役割について →
NHẮC VỪA ĐỦ	REMINDERS THAT FIT	自分に合うお知らせ
Lịch riêng. Khoảng yên riêng.	Your schedule. Your quiet time.	自分の予定、自分の静かな時間。
Chị chọn điều cần nhắc	Choose your reminders	通知する内容を選ぶ
Chăm da, ăn sáng, vận động hay chuẩn bị ngủ.	Skincare, breakfast, movement or preparing for bed.	肌のケア、朝食、運動、就寝前の準備など。
Theo giờ của chị	On your schedule	あなたの時間に合わせて
Chọn lịch và khoảng giờ yên lặng phù hợp.	Choose a schedule and quiet hours that suit you.	都合のよい時間と、通知を受け取らない時間帯を選べます。
Có thể đổi bất cứ lúc nào	Change it at any time	いつでも変更できる
Thiết kế cho phép nhắc sau hoặc bỏ qua. Thông báo thật phụ thuộc nền tảng và quyền thiết bị.	The design includes snooze and skip options. Actual notifications depend on the platform and device permissions.	後で通知する機能やスキップを想定したデザインです。実際の通知は、プラットフォームと端末の権限に依存します。
Ứng dụng đã phát hành chưa?	Has the app launched?	アプリは公開されていますか？
IKI Beauty đang được thiết kế và phát triển. Webapp là bước đầu tiên; bản iOS và Android ở giai đoạn sau.	IKI Beauty is being designed and developed. The web app comes first, with iOS and Android planned for a later stage.	IKI Beautyは設計・開発中です。Webアプリを先行し、iOS・Android版はその後の段階で予定しています。
AI có thay bác sĩ được không?	Can AI replace a doctor?	AIは医師の代わりになりますか？
Không. AI hỗ trợ thông tin và thao tác; vấn đề y khoa cần được đánh giá bởi người có chuyên môn.	No. AI assists with information and tasks; medical concerns require a qualified professional.	いいえ。AIは情報や操作をサポートします。医学的な問題は専門家にご相談ください。
Ảnh và thông tin của chị được xử lý thế nào?	How will photos and personal information be handled?	写真や個人情報はどのように扱われますか？
Luồng xử lý, nơi lưu, thời hạn lưu và cách xóa cần được công bố theo hệ thống thực tế trước khi phát hành. Ảnh thiết kế chưa phải cam kết về kiến trúc dữ liệu.	Processing, storage locations, retention and deletion must be documented for the actual system before launch. Design images are not a commitment to a particular data architecture.	公開前に、実際のシステムに基づく処理方法、保存先、保存期間、削除方法をご案内する必要があります。デザイン画像はデータ構成を確約するものではありません。
← Ảnh trước	← Previous image	← 前の画像
Ảnh tiếp →	Next image →	次の画像 →
Về HOPE CORP · IKI	About HOPE CORP · IKI	HOPE CORPについて · IKI
VỀ HOPE CORP	ABOUT HOPE CORP	HOPE CORPについて
Để việc chăm mình	Making room	毎日の暮らしに、
có chỗ trong	for self-care	自分を大切にする
mỗi ngày.	in every day.	時間を。
HOPE CORP phát triển IKI — hệ sinh thái chăm sóc sức khỏe chủ động dành cho phụ nữ. Bắt đầu từ làn da, mở rộng tới những thói quen trong đời sống.	HOPE CORP is developing IKI, a self-care ecosystem centred on women. Beginning with skin, it extends into everyday habits.	HOPE CORPは、女性を中心としたセルフケアのつながり、IKIを育てています。肌から始まり、日々の生活習慣へと広がります。
ĐIỀU IKI THEO ĐUỔI	WHAT IKI STANDS FOR	IKIが大切にすること
Chăm sóc với sự tôn trọng.	Care with respect.	一人ひとりを尊重するケア。
Hiểu trước khi chọn	Understand before choosing	知ってから選ぶ
Thông tin rõ ràng để chị chủ động lựa chọn. Không dùng nỗi lo ngoại hình để thúc ép quyết định.	Clear information for informed choices, without using appearance-related anxieties to pressure decisions.	納得して選べる、わかりやすい情報を。外見への不安を利用して、決断を迫りません。
Công nghệ có ích	Useful technology	役立つテクノロジー
Bớt nhập tay, bớt bối rối. AI phục vụ những nhu cầu cụ thể trong việc chăm mình.	Less manual entry, less confusion. AI supports specific self-care tasks.	手入力や迷いを少なく。AIはセルフケアの具体的なニーズを支えます。
Đồng hành dài hơn	Support for the longer term	長く寄り添う
Kiến thức, thực hành và cộng đồng cùng hỗ trợ nhịp sống của chị.	Knowledge, practice and community support your everyday rhythm.	知識、実践、コミュニティが、あなたの暮らしのリズムを支えます。
CON NGƯỜI SAU HỆ SINH THÁI	THE PEOPLE BEHIND IKI	IKIを支える人々
Cùng xây IKI	Building IKI together	暮らしに役立つことから、
từ những điều thiết thực.	through practical work.	一緒にIKIをつくる。
Tìm hiểu đội ngũ và vai trò của từng người trong hệ sinh thái HOPE CORP.	Meet the team and learn about their roles within HOPE CORP.	HOPE CORPのチームと、それぞれの役割をご紹介します。
Xem đội ngũ hiện tại	Meet the team	チームを見る
AI hỗ trợ · IKI	AI assistance · IKI	AIサポート · IKI
CÔNG NGHỆ IKI	IKI TECHNOLOGY	IKIのテクノロジー
AI giúp việc chăm mình	AI makes self-care	AIで、セルフケアを
bớt phức tạp.	less complicated.	もっとシンプルに。
Đọc nhãn cùng chị. Sắp xếp thông tin cùng chị.	Helping you read labels and organise information.	ラベルの読み取りや、情報の整理をお手伝い。
Biết nói rõ khi chưa đủ thông tin.	Being clear when there is not enough information.	情報が足りないときは、そのことを明確に。
Đọc, rồi kiểm tra	Read, then review	読み取って、確かめる
Thông tin nhận từ ảnh là bản nháp. Chị có thể đối chiếu, sửa và xác nhận trước khi lưu.	Information extracted from images is a draft. Review, edit and confirm it before saving.	画像から読み取った情報は下書きです。照合・修正・確認してから保存できます。
Hiểu trong bối cảnh	Understand the context	背景とともに理解する
Ảnh da, cảm giác và thói quen được ghi nhận riêng. Không suy ra bệnh lý hay thể tạng chỉ từ ảnh.	Skin photos, feelings and habits are recorded separately. Photos alone are not used to infer a medical condition or body constitution.	肌の写真、感覚、習慣は分けて記録します。写真だけから病気や体質を判断しません。
Nói rõ giới hạn	Make limitations clear	限界を明確にする
Ảnh mờ, nhãn thiếu hoặc vấn đề cần chuyên môn đều cần bước hỗ trợ phù hợp.	Blurry photos, incomplete labels and specialist concerns each need appropriate follow-up.	不鮮明な写真、不完全なラベル、専門的な問題には、それぞれ適切な次の対応が必要です。
Chân dung phụ nữ trong ánh sáng ấm	Portrait of a woman in warm light	暖かな光の中の女性のポートレート
Chụp sản phẩm — màn hình app đã thiết kế	Product capture — app design screen	商品撮影 — アプリの画面デザイン
Các phần của app	App sections	アプリの各機能
Hành trình của chị — màn hình app đã thiết kế	Your journey — app design screen	あなたの記録 — アプリの画面デザイン
Hình giới thiệu IKI Beauty	IKI Beauty introduction image	IKI Beautyの紹介画像
Hình minh họa những người phụ nữ dành thời gian bên nhau	Women spending time together	一緒に過ごす女性たちのイメージ
Hình minh họa phụ nữ chia sẻ và thư giãn	Women talking and relaxing together	語り合い、くつろぐ女性たちのイメージ
Hình minh họa sự đồng hành giữa phụ nữ	Women supporting one another	女性同士の支え合いを表すイメージ
Kiểm tra thông tin — màn hình app đã thiết kế	Review details — app design screen	情報の確認 — アプリの画面デザイン
Lời nhắc riêng — màn hình app đã thiết kế	Your reminders — app design screen	リマインダー — アプリの画面デザイン
Màn chụp nhãn sản phẩm của IKI Beauty	IKI Beauty product label capture screen	IKI Beautyの商品ラベル撮影画面
Một bữa ăn nhiều thành phần trên bàn	A varied meal on a table	さまざまな料理が並ぶ食卓
Phóng lớn: Chụp sản phẩm	Enlarge: product capture	拡大：商品撮影
Phóng lớn: Hành trình của chị	Enlarge: your journey	拡大：あなたの記録
Phóng lớn: Kiểm tra thông tin	Enlarge: review details	拡大：情報の確認
Phóng lớn: Lời nhắc riêng	Enlarge: your reminders	拡大：リマインダー
Phóng lớn: Tiểu Nhã đồng hành	Enlarge: Tiểu Nhã assistance	拡大：Tiểu Nhãのサポート
Sách và một khoảng nghỉ	Books and a moment of rest	本と、休息のひととき
Tiểu Nhã đồng hành — màn hình app đã thiết kế	Tiểu Nhã assistance — app design screen	Tiểu Nhãのサポート — アプリの画面デザイン
Xem các màn trước	View previous screens	前の画面を見る
Ảnh trước	Previous image	前の画像
Ảnh tính năng app, có thể cuộn ngang	App feature images, scroll horizontally	アプリの機能画像、横にスクロールできます
